URIs,passage_URIs
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0004919,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_190
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005246,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_36/Paragraphus_3
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005246,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_200
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005283,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_36/Paragraphus_5
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005283,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_202
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005317,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_36/Paragraphus_7
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005317,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_205
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005331,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_36/Paragraphus_7
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005331,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_205
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005381,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_37/Paragraphus_3
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005381,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_206
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005585,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_39/Paragraphus_1
http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005585,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/SentenceLayer/Liber_1/Sentence_214
